time_ms,cpu_used_percent,active_workers,queue_len,completed
0,10,1,0,0
10,10,1,0,0
20,20,2,0,0
30,20,2,0,0
40,30,3,0,0
50,30,3,0,0
60,40,4,0,0
70,40,4,0,0
80,50,5,0,0
90,50,5,0,0
100,60,6,0,0
110,60,6,0,0
120,95,7,0,0
130,95,7,0,0
140,95,7,1,0
150,95,7,1,0
160,95,7,2,0
170,95,7,2,0
180,95,7,3,0
190,95,7,3,0
200,85,6,4,1
210,85,6,4,1
220,75,5,5,2
230,75,5,5,2
240,100,5,5,3
250,100,5,5,3
260,100,5,5,4
270,100,5,5,4
280,100,5,5,5
290,100,5,5,5
300,90,4,6,6
310,90,4,6,6
320,100,5,5,7
330,100,5,5,7
340,100,5,6,7
350,100,5,6,7
360,100,5,7,7
370,100,5,7,7
380,100,5,8,7
390,100,5,8,7
400,100,5,9,7
410,100,5,9,7
420,100,5,10,7
430,100,5,10,7
440,95,7,8,8
450,95,7,8,8
460,95,7,8,9
470,95,7,8,9
480,95,7,8,10
490,95,7,8,10
500,95,7,9,10
510,95,7,9,10
520,80,8,7,12
530,80,8,7,12
540,80,8,8,12
550,80,8,8,12
560,80,8,9,12
570,80,8,9,12
580,80,8,10,12
590,80,8,10,12
600,80,8,11,12
610,80,8,11,12
620,80,8,12,12
630,80,8,12,12
640,95,7,11,15
650,95,7,11,15
660,95,7,11,16
670,95,7,11,16
680,95,7,11,17
690,95,7,11,17
700,95,7,12,17
710,95,7,12,17
720,85,6,11,20
730,85,6,11,20
740,85,6,12,20
750,85,6,12,20
760,85,6,13,20
770,85,6,13,20
780,85,6,14,20
790,85,6,14,20
800,85,6,15,20
810,85,6,15,20
820,85,6,16,20
830,85,6,16,20
840,95,7,14,22
850,95,7,14,22
860,95,7,14,23
870,95,7,14,23
880,95,7,14,24
890,95,7,14,24
900,95,7,15,24
910,95,7,15,24
920,75,5,16,26
930,75,5,16,26
940,75,5,17,26
950,75,5,17,26
960,75,5,18,26
970,75,5,18,26
980,75,5,19,26
990,75,5,19,26
1000,75,5,20,26
1010,75,5,20,26
1020,75,5,21,26
1030,75,5,21,26
1040,90,4,20,29
1050,90,4,20,29
1060,80,3,21,30
1070,80,3,21,30
1080,70,2,22,31
1090,70,2,22,31
1100,70,2,23,31
1110,70,2,23,31
1120,70,2,24,31
1130,70,2,24,31
1140,70,2,25,31
1150,70,2,25,31
1160,70,2,26,31
