time_ms,cpu_used_percent,active_workers,queue_len,completed
0,10,1,0,0
10,10,1,0,0
20,20,2,0,0
30,20,2,0,0
40,30,3,0,0
50,30,3,0,0
60,40,4,0,0
70,40,4,0,0
80,50,5,0,0
90,50,5,0,0
100,60,6,0,0
110,60,6,0,0
120,95,7,0,0
130,95,7,0,0
140,95,7,1,0
150,95,7,1,0
160,95,7,2,0
170,95,7,2,0
180,95,7,3,0
190,95,7,3,0
200,85,6,4,1
210,85,6,4,1
220,75,5,5,2
230,75,5,5,2
240,100,5,5,3
250,100,5,5,3
260,100,5,5,4
270,100,5,5,4
280,100,5,5,5
290,100,5,5,5
300,100,5,5,6
310,100,5,5,6
320,100,5,5,7
330,100,5,5,7
340,100,5,6,7
350,100,5,6,7
360,100,5,7,7
370,100,5,7,7
380,100,5,8,7
390,100,5,8,7
400,100,5,9,7
410,100,5,9,7
420,100,5,10,7
430,100,5,10,7
440,100,5,10,8
450,100,5,10,8
460,100,5,10,9
470,100,5,10,9
480,100,5,10,10
490,100,5,10,10
500,100,5,10,11
510,100,5,10,11
520,100,5,10,12
530,100,5,10,12
540,100,5,11,12
550,100,5,11,12
560,100,5,12,12
570,100,5,12,12
580,100,5,13,12
590,100,5,13,12
600,100,5,14,12
610,100,5,14,12
620,100,5,15,12
630,100,5,15,12
640,100,5,15,13
650,100,5,15,13
660,100,5,15,14
670,100,5,15,14
680,100,5,15,15
690,100,5,15,15
700,100,5,15,16
710,100,5,15,16
720,100,5,15,17
730,100,5,15,17
740,100,5,16,17
750,100,5,16,17
760,100,5,17,17
770,100,5,17,17
780,100,5,18,17
790,100,5,18,17
800,100,5,19,17
810,100,5,19,17
820,100,5,20,17
830,100,5,20,17
840,100,5,20,18
850,100,5,20,18
860,100,5,20,19
870,100,5,20,19
880,100,5,20,20
890,100,5,20,20
900,100,5,20,21
910,100,5,20,21
920,100,5,20,22
930,100,5,20,22
940,100,5,21,22
950,100,5,21,22
960,100,5,22,22
970,100,5,22,22
980,100,5,23,22
990,100,5,23,22
1000,100,5,24,22
1010,100,5,24,22
1020,100,5,25,22
1030,100,5,25,22
1040,100,5,25,23
1050,100,5,25,23
1060,100,5,25,24
1070,100,5,25,24
1080,100,5,25,25
1090,100,5,25,25
1100,100,5,25,26
1110,100,5,25,26
1120,100,5,25,27
1130,100,5,25,27
1140,100,5,26,27
1150,100,5,26,27
1160,100,5,27,27
